,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,COMPREHENSIVE PHARMACEUTICAL PROCUREMENT CONTRACT MANAGEMENT FOLLOW UP SHEET,,,,,,,,,,,Performance Guarantee follow up & Status,,,,,,,,,,,,Bank and Insurance Team,,,,,Shipment Follow Up and Port Clearance Team,,,Remark,
S.N,Recevied date from TMD,Tender reference number,PO No,Supplier,Country of Origin,Local A.,Discription of the product,Unit,Qauntity,Unit Price,Total price,Total PO Amount,Currency,Budget Source,Mode of Shipment,PO Transferred to BIT/LT Date,PG Requested Date,PG received Date,PG Confirmed Date,Bank/Insurance Name,PG Reference ,PG Expiry Date,Remaining Days for PG Expiry,Submit PG,Status,Satus Date,PG Receiver name,BI Officer,LC Opening Status,LC Opened Date,LC Expiry Date,LC Age (Days),Shipment Officer,Shipment Status,Order Closure,,
1,7/9/2025,EPSA-ICB-G-008-2017-BID,4500004787,Care pharma FZ LLC,Utd Arab Emir,Life care pharmaceutical trading,Laboratory Supplies - cover slides rectangular size 22x22 mm thickness 0.13 mm of 100 pieces,PAC,"39,017",0.29,"11,314.93","108,730.93",USD,RDF,,7/11/2025,7/22/2025,9/19/2025,9/19/2025,Awash Bank,AA00041827,9/16/2026,176,59,Released,3/24/2026,Jibril Ali,Dejene,Opened,10/1/2025,12/29/2025,290,Amanuel,Full Delivered,,,
,,,,,,,Laboratory Supplies - Microscope slides size 27x75 mm thickness 1.2mm frosted of 50 slides,PAC,"147,600",0.66,"97,416.00",,,,,,,,,,,,,,,,,,,,,,,,,,
3,7/10/2025,EPSA-ICB-G-0062-2017-BID,4500004632,Tenama International FZ-LLC,Utd.Arab Ermir,Tenama International FZ-LLC,Permethrine 0.05 - Cream of 30gm,TIN,"734,754",0.23,"168,993.42","168,993.42",USD,RTI-NTD,,7/25/2025,7/29/2025,8/13/2025,8/19/2025,Awash Bank,AA00041812,8/11/2026,24,15,Confiscated,,,Dejene,Opened,9/2/2025,11/30/2025,319,Hirkisa,"3,651.02 USD remain",,PG Confiscated due to not fully delivered,
4,7/10/2025,EPSA-ICB-G-0062-2017-BID,4500004637,Tenama International FZ-LLC,Utd.Arab Ermir,Life care Pharmaceutical Trading ,Permethrine 0.05 - Cream of 30gm,TIN,"257,015",0.23,"59,113.45","59,113.45",USD,MOF,,8/18/2025,8/19/2025,10/28/2025,10/29/2025,Awash Bank,AB/IFB/CRM&OP/0710/25,10/22/2026,96,70,,,,Dejene,Opened,11/6/2025,2/3/2026,254,Efa,"Not fully delivered, and USD 322.23 is missing from the FOB value due to production loss",,"not fully delivered, and USD 322.23 is missing from the FOB value due to production loss",
5,7/10/2025,EPSA-ICB-G-0062-2017-BID,4500004605,RISE GLOBAL GMBH,Germany,EMA Construction & Trading PLC,Ivermectin - 3mg - Tablet of 500,TIN,"15,577",12.48,"194,400.96","194,400.96",USD,SDG,Sea,7/16/2025,7/16/2025,7/22/2025,7/23/2025,Berhan Bank,BrB/ATB/435/25,9/23/2026,67,6,,,,Mahider,Opened,8/13/2025,11/10/2025,339,Hirkisa,"9,297.06 USD Remain",,,
6,7/10/2025,EPSA-ICB-G-0062-2017-BID,4500004608,RISE GLOBAL GMBH,Germany,EMA Construction & Trading PLC,Prednisolone - 5mg - Tablet of 1000,TIN,"3,300",4.79,"15,807.00","81,614.04",USD,SDG,Sea,8/10/2025,7/10/2025,8/22/2025,8/22/2025,Berhan Bank,BrB/ATB/433/25,9/23/2026,208,43,Released,2/27/2026,Israel,Mulugeta,Opened,8/13/2025,11/10/2025,339,Hirkisa,Full Delivered,,,
,,,,,,,Ivermectin - 3mg - Tablet of 500,TIN,"5,273",12.48,"65,807.04",,,,,,,,,,,,,,,,,,,,,,,,,,
7,7/10/2025,ICB/FW/EPSS6/MOH-GF-Malaria/PH/14/23,4500005223,Macleods pharmaceuticals Ltd.,India,MACLEODS PHARMACEUTICALS LTD,Artemether + Lumefanthrine - 20mg +120mg (6x2) - Tablet (Dispersible) of 30,PAC,"8,412",11.1,"93,373.20","1,087,572.40",USD,GF,Sea,9/24/2025,7/30/2025,8/20/2025,8/21/2025,Awash Bank,AA00043772,8/31/2026,44,21,,,,Mulugeta,Opened,10/17/2025,1/14/2026,274,Sagni,12 PAC  170.80 USD  Remain,,,
,,,,,,,Artemether + Lumefanthrine - 20mg +120mg (6x2) - Tablet (Dispersible) of 30,PAC,"62,924",15.8,"994,199.20",,,,,,,,,,,,,,,,,,,,,,,,,,
